source,storefront,platform,title,price_usd,original_price_usd,discount_pct,product_url,release_date,review_score,genres,tags
gog,GOG,PC,Deus Ex 2: Invisible War,1.74,6.99,75.0,https://www.gog.com/en/game/deus_ex_invisible_war,2003-12-02,34.0,"Action, Role-playing, Sci-fi",
gog,GOG,PC,Deus Ex Bundle,12.79,71.06,82.0,https://www.gog.com/en/game/deus_ex_bundle,,,"Role-playing, FPP, Sci-fi",
gog,GOG,PC,Deus Ex Revision Mod,0.0,0.0,0.0,https://www.gog.com/en/game/deus_ex_revision_mod,2015-10-10,31.0,"Role-playing, FPP, Sci-fi",
gog,GOG,PC,Deus Ex: Human Revolution - Director’s Cut,2.99,19.99,85.0,https://www.gog.com/en/game/deus_ex_human_revolution_directors_cut,2013-10-25,46.0,"Action, Role-playing, Sci-fi",
gog,GOG,PC,Deus Ex: Mankind Divided,4.49,29.99,85.0,https://www.gog.com/en/game/deus_ex_mankind_divided,2016-08-23,41.0,"Action, Role-playing, Sci-fi",
gog,GOG,PC,Deus Ex: Mankind Divided - Digital Deluxe Edition,6.74,44.99,85.0,https://www.gog.com/en/game/deus_ex_mankind_divided_deluxe_edition,2016-08-23,40.0,"Action, Role-playing, Sci-fi",
gog,GOG,PC,Deus Ex: Mankind Divided™ DLC - Season Pass,2.24,14.99,85.0,https://www.gog.com/en/game/deus_ex_mankind_divided_season_pass,2016-08-23,39.0,"Action, Role-playing, Sci-fi",
gog,GOG,PC,Deus Ex™ GOTY Edition,6.99,6.99,0.0,https://www.gog.com/en/game/deus_ex,2000-06-22,49.0,"Role-playing, FPP, Sci-fi",
gog,GOG,PC,Devil Daggers,9.99,9.99,0.0,https://www.gog.com/en/game/devil_daggers,2016-02-18,39.0,"Shooter, Action, Horror",
gog,GOG,PC,Devil May Cry 4 Special Edition,24.99,24.99,0.0,https://www.gog.com/en/game/devil_may_cry_4_special_edition,2015-06-23,,"Action, Adventure, Fantasy",
gog,GOG,PC,Devil May Cry 4 Special Edition - 1 Blue Orb,0.99,0.99,0.0,https://www.gog.com/en/game/devil_may_cry_4_special_edition_1_blue_orb,2015-06-23,,"Action, Adventure, Fantasy",
gog,GOG,PC,Devil May Cry 4 Special Edition - 2 Blue Orbs,1.49,1.49,0.0,https://www.gog.com/en/game/devil_may_cry_4_special_edition_2_blue_orbs,2015-06-23,,"Action, Adventure, Fantasy",
gog,GOG,PC,Devil May Cry 4 Special Edition - 5 Blue Orbs,2.99,2.99,0.0,https://www.gog.com/en/game/devil_may_cry_4_special_edition_5_blue_orbs,2015-06-23,,"Action, Adventure, Fantasy",
gog,GOG,PC,Devil May Cry 4 Special Edition - Lady & Trish Costumes,3.99,3.99,0.0,https://www.gog.com/en/game/devil_may_cry_4_special_edition_lady_trish_costumes,2015-06-23,,"Action, Adventure, Fantasy",
gog,GOG,PC,"Devil May Cry 4 Special Edition - Proud Souls (200,000)",2.99,2.99,0.0,https://www.gog.com/en/game/devil_may_cry_4_special_edition_proud_souls_200000,2015-06-23,,"Action, Adventure, Fantasy",
gog,GOG,PC,"Devil May Cry 4 Special Edition - Red Orbs (300,000)",1.99,1.99,0.0,https://www.gog.com/en/game/devil_may_cry_4_special_edition_red_orbs_300000,2015-06-23,,"Action, Adventure, Fantasy",
gog,GOG,PC,Devil May Cry 4 Special Edition - S.Nero/Dante/Vergil,4.99,4.99,0.0,https://www.gog.com/en/game/devil_may_cry_4_special_edition_snerodantevergil,2015-06-23,,"Action, Adventure, Fantasy",
gog,GOG,PC,Devil May Cry 4 Special Edition - Unlock All Modes,1.49,1.49,0.0,https://www.gog.com/en/game/devil_may_cry_4_special_edition_unlock_all_modes,2015-06-23,,"Action, Adventure, Fantasy",
gog,GOG,PC,Devil May Cry 4 Special Edition Demon Hunter Bundle,35.99,35.99,0.0,https://www.gog.com/en/game/devil_may_cry_4_special_edition_demon_hunter_bundle,2016-08-18,,"Action, Adventure, Fantasy",
gog,GOG,PC,Devil May Cry HD Collection,29.99,29.99,0.0,https://www.gog.com/en/game/devil_may_cry_hd_collection,2018-03-13,,"Action, Adventure, Fantasy",
gog,GOG,PC,Devil May Cry HD Collection & 4SE Bundle,44.99,44.99,0.0,https://www.gog.com/en/game/devil_may_cry_hd_collection_4se_bundle,,,"Action, Adventure, Fantasy",
gog,GOG,PC,Devil's Hunt,14.99,14.99,0.0,https://www.gog.com/en/game/devils_hunt,2019-09-17,28.0,"Action, TPP, Fantasy",
gog,GOG,PC,Devil's Kiss,0.0,0.0,0.0,https://www.gog.com/en/game/devils_kiss,2020-02-21,43.0,"Adventure, Visual Novel, Comedy",
gog,GOG,PC,Devilated,19.99,19.99,0.0,https://www.gog.com/en/game/devilated,2024-10-28,,"Action, Adventure, Horror",
gog,GOG,PC,Devilated Soundtrack,6.99,6.99,0.0,https://www.gog.com/en/game/devilated_soundtrack,,,"Action, Adventure, Horror",
gog,GOG,PC,Dex,1.49,14.99,90.0,https://www.gog.com/en/game/dex,2015-05-07,40.0,"Role-playing, Action, Sci-fi",
gog,GOG,PC,Dex Demo,0.0,0.0,0.0,https://www.gog.com/en/game/dex_demo,2017-03-30,39.0,"Role-playing, Action, Sci-fi",
gog,GOG,PC,Diablo + Hellfire,9.99,9.99,0.0,https://www.gog.com/en/game/diablo,1996-12-31,45.0,"Role-playing, Action, Fantasy",
gog,GOG,PC,Diablo 1 HD Mod (Belzebub),0.0,0.0,0.0,https://www.gog.com/en/game/diablo_1_hd_mod_belzebub,2014-09-10,,"Role-playing, Action, Fantasy",
gog,GOG,PC,Dice Legacy,14.99,14.99,0.0,https://www.gog.com/en/game/dice_legacy,2021-09-09,,"Strategy, Survival, Managerial",
gog,GOG,PC,Dice Legacy Deluxe Edition,17.83,17.83,0.0,https://www.gog.com/en/game/dice_legacy_deluxe_edition,2021-09-09,,"Strategy, Survival, Managerial",
gog,GOG,PC,Dice Legacy Soundtrack,5.99,5.99,0.0,https://www.gog.com/en/game/dice_legacy_soundtrack,2021-09-09,,"Strategy, Survival, Managerial",
gog,GOG,PC,Dice Legacy: Corrupted Fates,7.99,7.99,0.0,https://www.gog.com/en/game/dice_legacy_corrupted_fates,2022-04-19,,"Strategy, Survival, Managerial",
gog,GOG,PC,Dicey Dungeons,5.09,14.99,66.0,https://www.gog.com/en/game/dicey_dungeons,2019-08-13,,"Strategy, Card Game, Roguelike",
gog,GOG,PC,Die By The Sword + Limb From Limb,9.99,9.99,0.0,https://www.gog.com/en/game/die_by_the_sword_expansion,1998-02-28,38.0,"Action, Adventure, Fantasy",
gog,GOG,PC,Die in the Dungeon,11.24,14.99,25.0,https://www.gog.com/en/game/die_in_the_dungeon,2025-02-21,,"Action, Strategy, Roguelike",
gog,GOG,PC,Diggles: The Myth of Fenris,3.99,9.99,60.0,https://www.gog.com/en/game/diggles_the_myth_of_fenris,2001-09-27,,"Adventure, Strategy, Managerial",
gog,GOG,PC,Digital Eclipse Bundle,42.48,42.48,0.0,https://www.gog.com/en/game/digital_eclipse_bundle,2023-09-20,,"Action, Combat, Fantasy",
gog,GOG,PC,Diluvian Ultra,4.99,9.99,50.0,https://www.gog.com/en/game/diluvian_ultra,2023-09-28,,"Shooter, Action, FPP",
gog,GOG,PC,Diluvian Winds,17.99,17.99,0.0,https://www.gog.com/en/game/diluvian_winds,2023-05-25,,"Simulation, Strategy, Managerial",
gog,GOG,PC,Diluvian Winds - Supporter Pack,5.99,5.99,0.0,https://www.gog.com/en/game/diluvian_winds_supporter_pack,2023-05-25,,"Simulation, Strategy, Managerial",
