store,title,platform,price,release_date
epic_games_store,Buddy Simulator 1984,PC,2.87,2021-09-23
epic_games_store,Super Meat Boy,PC,6.25,2010-10-20
epic_games_store,A Short Hike,PC,3.56,2020-03-04
epic_games_store,Tormentor x Punisher,PC,3.56,2020-03-26
epic_games_store,No Longer Home,PC,5.51,2021-07-30
epic_games_store,Garden Story,PC,5.63,2021-08-11
epic_games_store,Crystal Crisis,PC,5.63,2021-07-08
epic_games_store,Whispers of a Machine,PC,4.19,2020-11-24
epic_games_store,Stories Untold,PC,5.35,2017-02-27
epic_games_store,Rayman Legends,PC,11.99,2019-11-29
epic_games_store,Where The Water Tastes Like Wine,PC,5.81,2020-09-10
epic_games_store,Limbo,PC,3.56,2010-07-30
epic_games_store,Crashlands,PC,5.35,2020-04-30
epic_games_store,CARRION,PC,8.94,2020-10-29
epic_games_store,Watch Dogs,PC,17.99,2020-03-19
epic_games_store,Geneforge 1: Mutagen,PC,5.63,2021-02-24
epic_games_store,Beyond Good & Evil,PC,2.99,2020-08-25
epic_games_store,Might & Magic Heroes 3,PC,5.99,2021-03-03
epic_games_store,Shakedown - Hawaii,PC,7.14,2019-05-07
epic_games_store,Tom Clancy’s Splinter Cell Double Agent,PC,2.99,2021-03-11
epic_games_store,Critadel,PC,5.63,2021-10-13
epic_games_store,Wilmot's Warehouse,PC,5.5,2020-08-06
epic_games_store,Halcyon 6 Starbase Commander,PC,5.75,2021-02-11
epic_games_store,Spelldrifter,PC,5.63,2021-04-19
epic_games_store,Stick It To The Man!,PC,2.23,2020-09-17
epic_games_store,Rebel Galaxy Outlaw,PC,9.83,2019-08-13
epic_games_store,Tower of Guns,PC,7.07,2021-07-22
epic_games_store,Tales from the Borderlands,PC,13.2,2021-02-17
epic_games_store,Everhood,PC,2.87,2021-09-16
epic_games_store,The Fall,PC,2.87,2021-03-18
epic_games_store,Mind Scanners,PC,4.79,2021-09-23
epic_games_store,The Telltale Batman Shadows Edition,PC,9.83,2019-12-17
epic_games_store,iRacing,PC,5.39,2021-02-09
epic_games_store,Colt Canyon,PC,4.19,2021-09-02
epic_games_store,Golf Club Wasteland,PC,2.1,2021-09-03
epic_games_store,Tinytopia,PC,4.19,2021-08-30
epic_games_store,Far Cry 3: Blood Dragon,PC,8.99,2020-02-18
epic_games_store,Auto Chess,PC,0.0,2019-08-23
epic_games_store,Druidstone: The Secret of the Menhir Forest,PC,7.07,2021-08-19
epic_games_store,Trials Fusion,PC,11.99,2021-03-11
epic_games_store,Unbound: Worlds Apart,PC,5.63,2021-07-28
epic_games_store,The Unfinished Swan,PC,4.46,2020-09-10
epic_games_store,JARS,PC,1.68,2021-10-20
epic_games_store,Neurodeck,PC,5.27,2021-03-18
epic_games_store,Bud Spencer & Terence Hill - Slaps And Beans,PC,3.35,2021-09-10
epic_games_store,Fell Seal: Arbiter's Mark,PC,9.11,2020-12-17
epic_games_store,UnMetal,PC,8.51,2021-09-28
epic_games_store,I Am Dead,PC,5.63,2020-10-08
epic_games_store,Terrain of Magical Expertise,PC,8.39,2021-09-09
epic_games_store,Legend of Keepers,PC,5.63,2021-04-29
epic_games_store,TOHU,PC,4.19,2021-10-18
epic_games_store,Boyfriend Dungeon,PC,5.63,2021-08-11
epic_games_store,Wanna Survive,PC,4.19,2021-05-21
epic_games_store,Guardians of Hyelore,PC,5.63,2021-09-29
epic_games_store,Costume Quest 2,PC,4.19,2020-10-22
epic_games_store,Griftlands,PC,7.14,2019-07-11
epic_games_store,True Hate,PC,2.27,2021-10-15
epic_games_store,Ken Follett's The Pillars of the Earth,PC,0.72,2021-04-15
epic_games_store,A Monster's Expedition,PC,5.63,2021-04-27
epic_games_store,MudRunner,PC,9.59,2020-11-26
epic_games_store,Flat Heroes,PC,2.87,2021-09-16
epic_games_store,Legends of Runeterra,PC,0.0,2021-11-04
epic_games_store,Killing Floor 2,PC,8.94,2020-07-09
epic_games_store,The Last Show of Mr. Chardish,PC,2.87,2021-08-12
epic_games_store,Amnesia: A Machine for Pigs,PC,5.63,2020-10-15
epic_games_store,Vigil: The Longest Night,PC,5.63,2021-08-31
epic_games_store,Carto,PC,5.81,2020-10-27
epic_games_store,At Eve's Wake,PC,7.07,2021-10-26
epic_games_store,Expeditions: Conquistador,PC,6.78,2021-10-13
epic_games_store,Deponia: The Complete Journey,PC,1.8,2021-04-15
epic_games_store,Down in Bermuda,PC,5.63,2021-01-14
epic_games_store,Teacup,PC,2.87,2021-09-23
epic_games_store,Out of the Park Baseball 22,PC,6.35,2021-09-23
epic_games_store,Saint Kotar,PC,7.07,2021-10-28
epic_games_store,To The Rescue!,PC,5.63,2021-11-02
epic_games_store,Cyanide & Happiness - Freakpocalypse (Episode 1),PC,5.63,2021-03-11
epic_games_store,HyperParasite,PC,4.19,2021-03-19
epic_games_store,Pato Box,PC,4.19,2021-09-02
epic_games_store,Wolfenstein: The New Order,PC,14.15,2021-09-09
epic_games_store,KORAL,PC,2.87,2021-06-30
epic_games_store,Oxygen Not Included,PC,7.15,2019-11-25
epic_games_store,The Alto Collection,PC,2.68,2020-08-13
epic_games_store,The Count Lucanor,PC,2.87,2021-06-30
epic_games_store,APE OUT,PC,5.35,2019-02-28
epic_games_store,Supraland,PC,5.63,2021-07-02
epic_games_store,Legend of Grimrock,PC,4.19,2021-10-25
epic_games_store,Shadowrun: Dragonfall - Director’s Cut,PC,5.51,2020-08-27
epic_games_store,Shadowrun Returns,PC,5.51,2020-08-27
epic_games_store,Yuppie Psycho: Executive Edition,PC,5.87,2021-06-30
epic_games_store,The Vale: Shadow of the Crown,PC,5.63,2021-08-19
epic_games_store,Banners of Ruin,PC,5.63,2021-07-29
epic_games_store,Mayhem in Single Valley,PC,4.19,2021-05-20
epic_games_store,Wizards: Wand of Epicosity,PC,2.27,2020-08-04
epic_games_store,Fuga: Melodies of Steel,PC,26.09,2021-07-29
epic_games_store,ChromaGun,PC,3.71,2021-11-03
epic_games_store,Eastward,PC,7.43,2021-09-16
epic_games_store,Bad North,PC,5.35,2018-11-16
epic_games_store,The Textorcist: The Story of Ray Bibbia,PC,5.35,2020-11-12
epic_games_store,Speed Brawl,PC,6.35,2018-09-18
epic_games_store,Cosmic Express,PC,2.87,2021-04-27
epic_games_store,Shadowrun Hong Kong - Extended Edition,PC,6.35,2020-08-27
epic_games_store,Planescape: Torment: Enhanced Edition,PC,5.63,2021-09-28
epic_games_store,Lovecraft's Untold Stories,PC,5.51,2021-07-20
epic_games_store,Kine,PC,4.19,2020-02-24
epic_games_store,HORROR TALES: The Wine,PC,4.19,2021-07-30
epic_games_store,Dandara: Trials of Fear Edition,PC,4.19,2021-01-28
epic_games_store,Sludge Life,PC,5.99,2020-05-28
epic_games_store,Metro: 2033 Redux,PC,8.04,2010-03-16
epic_games_store,Alan Wake's American Nightmare,PC,3.56,2012-05-22
